"idema","lon","fint","prec","alt","vmax","vv","dv","lat","dmax","ubi","hr","tamin","ta","tamax","pres","stdvv","ts","pres_nmar","tpr","vis","stddv","inso","tss5cm","psoltp","pliqt","rviento","vmaxu","dvu","pacutp","vvu","stdvvu","stddvu","dmaxu","tss20cm","geo925","nieve","geo700","geo850.value","geo850.present"
"2918Y",-6.223616,"2021-03-23T09:00:00",0,1027,3.6,2.4,33,40.569447,37,"EL MAILLO (BASE AVIONES - AUTOMATICA)",44,7.8,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2926B",-6.60902,"2021-03-23T09:00:00",0,748,3.2,1.7,81,40.851425,80,"BAÑOBAREZ",63,4.5,7.8,7.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2930Y",-6.812855,"2021-03-23T09:00:00",0,880,2,1.1,355,40.29663,20,"NAVASFRIAS",63,0.1,6.5,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2945A",-6.57708,"2021-03-23T09:00:00",0,805,2.3,1.3,356,40.48512,345,"EL BODÓN-BASE AEREA",73,1.5,5.3,5.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2946X",-6.600021,"2021-03-23T09:00:00",0,680,2.5,1.2,74,40.63502,150,"SAELICES EL CHICO",62,3.1,7.2,7.2,944.1,NA,15.5,1024.8,0.4,20,NA,60,10.3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2966D",-6.301295,"2021-03-23T09:00:00",0,840,1.8,0.9,354,41.683464,15,"ALCAÑICES-VIVINERA",35,10.7,15.2,15.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2969U",-7.183055,"2021-03-23T09:00:00",0,910,NA,NA,NA,42.027264,NA,"MESÓN EROSA",54,6.8,9.4,9.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2978X",-7.422059,"2021-03-23T09:00:00",0,380,NA,NA,NA,41.926666,NA,"AGUAS DE CABREIROA",78,2.5,7.3,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3013",-1.878928,"2021-03-23T09:00:00",0,1062,1.4,0.5,199,40.841652,180,"MOLINA DE ARAGÓN",65,-1.7,3,3,900.6,0.2,6.7,NA,-3,20,42,60,4.9,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,8.4,NA,NA,NA,1528.8,TRUE
"3021Y",-2.200477,"2021-03-23T09:00:00",0,1230,2.3,1,25,40.76274,47,"ZAOREJAS",53,4.1,7.1,7.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3040Y",-2.076393,"2021-03-23T09:00:00",0,1214,NA,NA,NA,40.57167,NA,"BETETA",69,-0.3,4.9,4.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3044X",-2.150033,"2021-03-23T09:00:00",0,928,0.7,NA,NA,40.5303,67,"CAÑIZARES",92,-0.1,7.2,7.2,915.1,NA,NA,NA,5.9,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,839.3,NA,NA,NA,NA
"3085Y",-2.953058,"2021-03-23T09:00:00",0,920,NA,NA,NA,40.407776,NA,"PASTRANA",46,7.9,10.1,10.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3094B",-3.02139,"2021-03-23T09:00:00",0,808,2.7,1.3,88,40.012074,109,"TARANCON",38,5.3,8.1,8.1,927.3,NA,7.4,NA,-5.4,17.4,NA,60,10.4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,828.5,NA,NA,NA,NA
"3099Y",-3.496134,"2021-03-23T09:00:00",0,733,3.6,1.9,115,39.935165,87,"OCAÑA",43,8.4,11.2,11.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3100B",-3.546025,"2021-03-23T09:00:00",0,540,2.4,1.2,115,40.06714,115,"ARANJUEZ",56,4.4,9.1,9.1,NA,NA,NA,NA,0.9,NA,NA,NA,NA,NA,NA,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3103",-3.301944,"2021-03-23T09:00:00",0,910,3.8,0.5,40,41.003613,47,"PANTANO EL VADO",59,3.6,6.2,6.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3104Y",-3.888285,"2021-03-23T09:00:00",0,1159,1,0.5,119,40.889687,120,"EL PAULAR- RASCAFRÍA (AUTOMÁTICA)",47,4.7,8.6,8.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3110C",-3.613809,"2021-03-23T09:00:00",0,1030,3,1.1,267,41.006985,269,"BUITRAGO",52,4.6,8.6,8.6,906.3,NA,NA,NA,-0.7,NA,NA,NA,NA,NA,NA,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1557,TRUE
"3125Y",-3.616667,"2021-03-23T09:00:00",0,672,NA,NA,NA,40.55,NA,"SAN SEBASTIAN DE LOS REYES",52,5.5,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3126Y",-3.711944,"2021-03-23T09:00:00",0,740,2.6,1,107,40.561386,120,"EL GOLOSO (AUTOMÁTICA)",52,6.7,9.2,9.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3129",-3.555593,"2021-03-23T09:00:00",0,609,2.6,1.2,300,40.46656,260,"MADRID/BARAJAS",62,3.2,6,6.4,954.9,0.3,16.1,1024.7,-0.7,27.6,9,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3130C",-2.617927,"2021-03-23T09:00:00",0,1005,1.8,0.6,136,41.086277,42,"SIGÜENZA",54,1.2,6.9,6.9,907.4,NA,5.5,NA,-1.7,20,NA,56,4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1538.6,TRUE
"3140Y",-2.75988,"2021-03-23T09:00:00",0,990,NA,NA,NA,40.985077,NA,"MANDAYONA",55,3.7,7.8,7.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3158D",-3.142474,"2021-03-23T09:00:00",0,1370,NA,0.1,48,41.274166,NA,"EVC_CAMPISABALOS",51,5.1,8.6,8.6,874,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1599.6,TRUE
"3168D",-3.149995,"2021-03-23T09:00:00",0,721,2.1,0.8,11,40.630283,313,"GUADALAJARA",49,5.7,8.1,8.1,937.7,0.2,12,1022.9,-2,20,35,60,7.9,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,9,NA,NA,NA,NA,NA
"3170Y",-3.289711,"2021-03-23T09:00:00",0,605,4.1,2.2,64,40.52836,65,"ALCALA DE HENARES-ENCÍN",54,4.5,7.8,7.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3182Y",-3.497784,"2021-03-23T09:00:00",0,533,3,0.4,130,40.31167,65,"ARGANDA DEL REY",48,6.4,9.4,9.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3191E",-3.765135,"2021-03-23T09:00:00",0,1004,2.5,0.9,205,40.696068,272,"COLMENAR VIEJO/FAMET",47,6.9,9.1,9.1,907.1,NA,NA,NA,-1.7,NA,NA,NA,NA,NA,NA,37,NA,NA,NA,NA,NA,NA,NA,NA,842.3,NA,NA,NA,NA
"3194U",-3.724167,"2021-03-23T09:00:00",0,664,2.1,0.8,249,40.45167,263,"MADRID  C. UNIVERSITARIA",57,5.5,9.9,9.9,NA,NA,NA,NA,1.7,NA,NA,NA,NA,NA,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3194Y",-3.813369,"2021-03-23T09:00:00",0,665,NA,NA,NA,40.448437,NA,"POZUELO DE ALARCON (AUTOMÁTICA)",48,6.9,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3195",-3.678095,"2021-03-23T09:00:00",0,667,NA,NA,NA,40.411804,NA,"MADRID RETIRO",40,6.9,8.7,8.7,944.9,NA,NA,1023.7,-4.2,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3209Y",-2.874063,"2021-03-23T09:00:00",0,835,NA,NA,NA,40.765198,NA,"BRIHUEGA",45,6.5,9.5,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3229Y",-3.311671,"2021-03-23T09:00:00",0,594,NA,NA,NA,40.247227,NA,"TIELMES",NA,3,6.8,6.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3245Y",-3.505837,"2021-03-23T09:00:00",0,635,NA,NA,NA,39.696114,NA,"TEMBLEQUE",50,4.3,9.7,9.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3254Y",-3.780687,"2021-03-23T09:00:00",0,717,0.6,0.2,52,39.68689,52,"MORA DE TOLEDO (AUTOMÁTICA)",39,12.6,14.8,14.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3260B",-4.045278,"2021-03-23T09:00:00",0,515,4.7,3.3,118,39.884445,118,"TOLEDO",52,6.4,9.6,9.6,961.9,0.5,12.3,1023.3,0.2,19.9,9,60,10.1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,12.1,NA,NA,NA,NA,NA
"3266A",-4.141883,"2021-03-23T09:00:00",0,1532,5.4,3.2,298,40.70634,288,"ALTO DE LOS LEONES",45,1.2,3.6,3.6,850.8,NA,NA,NA,-7.1,NA,NA,NA,NA,NA,NA,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1539.6,TRUE
"3268C",-4.017505,"2021-03-23T09:00:00",0,924,1.9,0.5,240,40.659725,195,"ALPEDRETE",36,11.9,12.9,12.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3298X",-4.350468,"2021-03-23T09:00:00",0,917,5.5,1.6,196,39.546833,204,"SAN PABLO DE LOS MONTES",35,11.3,13.9,13.9,NA,NA,NA,NA,-1.4,NA,NA,NA,NA,NA,NA,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3305Y",-4.476945,"2021-03-23T09:00:00",0,750,NA,NA,NA,39.630554,NA,"NAVAHERMOSA",49,9.2,11.9,11.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3319D",-5.012748,"2021-03-23T09:00:00",0,1285,1.3,0.5,30,40.339664,5,"PUERTO EL PICO",60,3.1,7.8,7.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3330Y",-4.487227,"2021-03-23T09:00:00",0,890,NA,NA,NA,40.31305,NA,"ROZAS DE PUERTO REAL",62,8.3,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3337U",-4.455763,"2021-03-23T09:00:00",0,850,4.7,1.9,210,40.467503,230,"CEBREROS",43,12.4,14.7,14.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3338",-4.249927,"2021-03-23T09:00:00",0,763,3.1,0.9,125,40.42775,90,"ROBLEDO DE CHAVELA",41,9.6,11.1,11.1,933.4,NA,NA,NA,-1.7,NA,NA,NA,NA,NA,NA,42,NA,NA,NA,NA,NA,NA,NA,NA,838.3,NA,NA,NA,NA
"3343Y",-4.061107,"2021-03-23T09:00:00",0,884,2.5,1.3,184,40.496662,207,"VALDEMORILLO",46,7.8,9.4,9.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3362Y",-4.680608,"2021-03-23T09:00:00",0,560,NA,NA,NA,40.108208,NA,"CASTILLO BAYUELA",49,9.7,11.8,11.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3365A",-4.863596,"2021-03-23T09:00:00",0,372,4.8,2.2,72,39.958607,62,"TALAVERA DE LA REINA",67,4.4,7.7,7.7,979,NA,7.8,1024,1.9,20,NA,60,9.4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3386A",-5.391666,"2021-03-23T09:00:00",0,923,3.6,1.7,312,39.591663,317,"NAVALVILLAR DE IBOR",43,10.5,13.2,13.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3391",-4.590932,"2021-03-23T09:00:00",0,630,2.3,0.7,42,40.288563,29,"SOTILLO DE LA ADRADA",43,10,13.9,13.9,NA,NA,NA,NA,1.5,NA,NA,NA,NA,NA,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3422D",-5.311326,"2021-03-23T09:00:00",0,350,1.8,0.6,237,40.1392,260,"CANDELEDA (AUTOMATICA)",56,11.1,13.4,13.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3423I",-5.373329,"2021-03-23T09:00:00",0,464,3.3,1.7,176,40.15389,152,"MADRIGAL DE LA VERA",52,10,12.2,12.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3427Y",-5.114443,"2021-03-23T09:00:00",NA,345,NA,NA,NA,39.99334,NA,"OROPESA DEHESÓN DEL  ENCINAR",67,4.6,10.9,10.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3434X",-5.582629,"2021-03-23T09:00:00",0,269,2.2,0.6,232,39.94576,59,"NAVALMORAL DE LA MATA",69,5.2,8.8,8.8,990.7,NA,10.8,1023.3,3.4,20,NA,60,11.3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3436D",-5.784718,"2021-03-23T09:00:00",0,690,3.8,2.1,147,40.11111,152,"GARGANTA LA OLLA",46,11.8,13,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3448X",-6.127483,"2021-03-23T09:00:00",0,406,1.8,0.4,85,39.820717,105,"SERRADILLA (AUTOMATICA)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3455X",-5.808349,"2021-03-23T09:00:00",0,559,2,0.7,204,39.66995,152,"JARAICEJO",53,10.1,11.8,11.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3463Y",-5.901944,"2021-03-23T09:00:00",0,523,4,1.3,209,39.46417,185,"TRUJILLO",43,10.3,12.3,12.3,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3469A",-6.338889,"2021-03-23T09:00:00",0,394,2.2,1.4,9,39.47139,5,"CÁCERES",63,8.3,10.7,10.7,976.4,0.3,15.1,1023.1,3.9,16.4,19,60,11.2,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,13.6,NA,NA,NA,NA,NA
"3475X",-6.376392,"2021-03-23T09:00:00",0,373,2.6,1.4,182,39.790558,172,"CAÑAVERAL",62,8.6,11.5,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3494U",-6.239733,"2021-03-23T09:00:00",0,470,1,0.2,239,40.40809,82,"NUÑOMORAL",63,3.7,7.7,7.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3503",-6.1675,"2021-03-23T09:00:00",0,393,7.5,3.1,12,40.189445,355,"GUIJO DE GRANADILLA",48,10.7,12.3,12.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3504X",-5.861212,"2021-03-23T09:00:00",0,724,1.8,0.9,349,40.265087,150,"HERVAS",43,9.6,12.9,12.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3512X",-6.338888,"2021-03-23T09:00:00",0,351,1.9,1.1,152,40.08083,147,"MONTEHERMOSO",62,8.8,11.8,11.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3514B",-5.678336,"2021-03-23T09:00:00",0,991,10.2,5,52,40.258614,87,"TORNAVACAS",47,8.4,10.3,10.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3516X",-5.832386,"2021-03-23T09:00:00",0,1260,2.2,1.3,266,40.12078,272,"PIORNAL (AUTOMATICA)",46,8.6,10.8,10.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3519X",-6.085781,"2021-03-23T09:00:00",0,415,1.6,0.7,244,40.043053,241,"PLASENCIA",66,6,9.7,9.7,NA,NA,NA,NA,3.6,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3526X",-6.557527,"2021-03-23T09:00:00",0,313,2.6,1.1,149,40.00354,149,"CORIA",59,6.6,11.8,11.8,985.5,NA,14,1022.9,4.1,14.1,NA,60,11.5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3536X",-6.724444,"2021-03-23T09:00:00",0,560,5.9,3,15,40.17483,345,"HOYOS",32,13.3,15.6,15.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3540X",-6.860004,"2021-03-23T09:00:00",0,336,1.1,0.5,337,39.871387,180,"ZARZA LA MAYOR",58,8.6,11.9,11.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3547X",-6.896107,"2021-03-23T09:00:00",0,450,2,1,169,40.207226,190,"VALVERDE DE FRESNO",49,9.8,13.3,13.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3562X",-6.736389,"2021-03-23T09:00:00",0,321,1.8,0.7,315,39.4275,287,"ALISEDA  LA UMBRÍA",56,7.8,12,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3565X",-6.744998,"2021-03-23T09:00:00",0,425,6.9,5,48,39.61806,52,"BROZAS (AUTOMATICA)",52,10.1,12.8,12.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3576X",-7.231135,"2021-03-23T09:00:00",0,444,2.2,1.1,348,39.41486,358,"VALENCIA DE ALCÁNTARA",55,8.8,12.6,12.7,970.1,NA,8.9,1022.5,3.8,20,NA,60,11,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4007Y",-2.745006,"2021-03-23T09:00:00",0,905,2.2,1.1,243,38.96583,235,"OSSA DE MONTIEL",46,9.4,13.4,13.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4051Y",-2.80695,"2021-03-23T09:00:00",0,875,4,2.3,34,40.06111,45,"ALCÁZAR DEL REY",46,7.1,9.2,9.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4061X",-3.046938,"2021-03-23T09:00:00",0,691,2.6,1.2,208,39.597515,242,"QUINTANAR DE LA ORDEN",45,5.5,10.6,10.6,941,NA,NA,1021.8,-1,NA,NA,NA,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4067",-3.528358,"2021-03-23T09:00:00",0,690,5.2,3.4,109,39.492065,101,"MADRIDEJOS",53,4.6,9.7,9.7,941.4,NA,10.7,1022.3,0.6,20,NA,60,8.2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4070Y",-2.395207,"2021-03-23T09:00:00",0,1020,1.7,0.5,350,40.018784,347,"ABIA DE OBISPALIA",36,8.8,11.8,11.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4075Y",-2.503334,"2021-03-23T09:00:00",0,870,NA,NA,NA,39.84028,NA,"VILLARES DEL SAZ",51,3.7,8.3,8.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4089A",-2.49575,"2021-03-23T09:00:00",0,857.5,2,0.7,355,39.51697,10,"ALBERCA DE ZANCARA",44,6.8,10.2,10.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4090Y",-2.420691,"2021-03-23T09:00:00",0,728,3.7,1.2,107,39.416737,115,"SAN CLEMENTE",50,5.7,9.9,9.9,937.9,NA,10,1023.1,0,17.9,NA,60,8.2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4091Y",-2.592567,"2021-03-23T09:00:00",0,718,2.1,1.2,252,39.261894,257,"VILLARROBLEDO",36,11.1,14,14.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4093Y",-2.759997,"2021-03-23T09:00:00",0,763,1.9,0.6,31,39.656116,22,"OSA DE LA VEGA (AUTOMÁTICA)",51,3,7.1,7.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4095Y",-2.705556,"2021-03-23T09:00:00",0,745,2.5,0.6,347,39.555283,37,"BELMONTE",41,8,12,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4096Y",-2.488886,"2021-03-23T09:00:00",0,918,4.7,2.1,233,39.016663,225,"MUNERA  SAN BARTOLOMÉ (AUTOMÁTICA)",51,7.4,12.2,12.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4103X",-3.00749,"2021-03-23T09:00:00",0,662,2.2,0.9,82,39.169044,81,"TOMELLOSO",43,6.3,11.4,11.4,945.7,NA,15.9,1023.1,-0.7,11.9,NA,60,9.6,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4121",-3.920278,"2021-03-23T09:00:00",0,628,1.8,0.9,112,38.989166,75,"CIUDAD REAL",51,5.1,10.3,10.3,949.4,0.4,8.4,1023.4,0.6,20,44,60,8.5,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,9.7,NA,NA,NA,NA,NA
"4138Y",-3.004441,"2021-03-23T09:00:00",0,900,5.6,3.5,217,38.737495,227,"VILLANUEVA DE LOS INFANTES",51,8.1,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4147X",-3.391368,"2021-03-23T09:00:00",0,700,3,1.7,174,38.750423,178,"VALDEPEÑAS",38,6.8,13.1,13.1,940.9,NA,9,1022,-1,20,NA,60,10,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4148",-3.566724,"2021-03-23T09:00:00",0,804,1.6,0.8,236,38.518047,237,"VISO DEL MARQUÉS",51,7.6,13.5,13.5,929.6,NA,NA,NA,3.6,NA,NA,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,845.7,NA,NA,NA,NA
"4210Y",-4.291943,"2021-03-23T09:00:00",0,718,2,1.2,239,38.898056,237,"ABENOJAR (AUTOMATICA)",48,13.1,13.6,14.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
